№,Страница,Шаблон,Title,Description,Доп ключи
1,Главная,main.php,Мастер татуажа,Превосходный мастер татуажа в Санкт-Петербурге. Богатый опыт работы и множество хвалебных отзывов. Звоните и записывайтесь!,Мастер татаужа спб; татуаж мастер лучший; сделать татуаж;татуаж спб лучшие мастера
2,О компании,o-nas.php,Студия татуажа,Студия татуажа предоставляет полный спектр услуг по перманентному макияжу; татуажу и микроблейдингу. Позвоните нам прямо сейчас и станьте еще красивее!,Салон татуажа;салон татуажа спб;студия татуажа спб;студия перманентного макияжа
3,Услуги,uslugi.php,Татуаж услуги,Перманентный макияж; татуаж; микроблейдинг реконструкция бровей и другие услуги в студии перманентного макияжа. Звоните и записывайтесь!,услуги татуажа спб;перманентный макияж услуги;салоны красоты услуги татуаж
4,Цены,ceni.php,Татуаж цены,Низкие цены на татуаж; перманентный макияж и другие услуги в студии макияжа в Санкт-Петербурге. ,Перманентный макияж цены; Татуаж спб цены
5,Контакты,kontakti.php,Контакты студии перманентного макияжа в Санкт-Петербурге,Контакты студии перманентного макияжа в Санкт-Петербурге; адреса и телефоны.,
6,Отзывы,otzivi.php,Татуаж отзывы,Татуаж отзывы о студии перманентного макияжа и татуажа в Санкт-Петербурге и работе наших мастеров.  ,
7,Вакансии,vakansii.php,Вакансии студии перманентного макияжа в Санкт-петербурге.,Вакансии студии перманентного макияжа в Санкт-петербурге.,
8,Карта сайта,site-map.php,,,
9,Ответы на вопросы,faq.php,Частые вопросы о перманентном макияже и татуаже в Санкт-Петербурге.,Частые вопросы о перманентном макияже и татуаже в Санкт-Петербурге.,
10,Услуги/Татуаж,archive-tatuazh.php,Татуаж,Профессиональный татуаж и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж бровей; татуаж татуаж губ; татуаж стрелок; татуаж глаз; татуаж век; межресничный татуаж
11,Услуги/Татуаж/Татуаж бровей,single-tatuazh-brov.php,Татуаж бровей,Профессиональный татуаж бровей и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж бровей фото; татуаж бровей отзывы; татуаж бровей цены; сделать татуаж бровей; татуаж бровей методы; татуаж бровей спб;хороший татуаж бровей; татуаж бровей спб лучшие мастера
12,Услуги/Татуаж/Татуаж губ,single-tatuazh-gub.php,Татуаж губ,Профессиональный татуаж губ и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж губ фото; татуаж губ отзывы; татуаж губ цены; сделать татуаж губ; татуаж губ методы; татуаж губ спб;хороший татуаж губ; татуаж губ спб лучшие мастера
13,Услуги/Татуаж/Татуаж век,single-tatuazh-vek.php,Татуаж век,Профессиональный татуаж век и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж век фото; татуаж век отзывы; татуаж век цены; сделать татуаж век; татуаж век методы; татуаж век спб;хороший татуаж век; татуаж век спб лучшие мастера
14,Услуги/Татуаж/Татуаж глаз,single-tatuazh-glaz.php,Татуаж глаз,Профессиональный татуаж глаз и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж глаз фото; татуаж глаз отзывы; татуаж глаз цены; сделать татуаж глаз; татуаж глаз методы; татуаж глаз спб;хороший татуаж глаз; татуаж глаз спб лучшие мастера
15,Услуги/Татуаж/Татуаж стрелок,single-tatuazh-strelok.php,Татуаж стрелок,Профессиональный татуаж стрелок и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,татуаж стрелок фото; татуаж стрелок отзывы; татуаж стрелок цены; сделать татуаж стрелок; татуаж стрелок методы; татуаж стрелок спб;хороший татуаж стрелок; татуаж стрелок спб лучшие мастера
16,Услуги/Перманентный макияж,archive-permanent.php,Перманентный макияж,Профессиональный перманентный макияж и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж спб;перманентный макияж бровей; перманентный макияж губ; перманентный макияж; перманентный макияж глаз; перманентный макияж век
17,Услуги/Перманентный макияж/Перманентный макияж бровей,single-permanent-brov.php,Перманентный макияж бровей,Профессиональный перманентный макияж бровей и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж бровей фото; перманентный макияж бровей отзывы; перманентный макияж бровей цены; сделать перманентный макияж бровей; перманентный макияж бровей методы; перманентный макияж бровей спб;хороший перманентный макияж бровей; перманентный макияж бровей спб лучшие мастера
18,Услуги/Перманентный макияж/Перманентный макияж губ,single-permanent-gub.php,Перманентный макияж губ,Профессиональный перманентный макияж губ и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж губ фото; перманентный макияж губ отзывы; перманентный макияж губ цены; сделать перманентный макияж губ; перманентный макияж губ методы; перманентный макияж губ спб;хороший перманентный макияж губ; перманентный макияж губ спб лучшие мастера
19,Услуги/Перманентный макияж/Перманентный макияж глаз,single-permanent-glaz.php,Перманентный макияж глаз,Профессиональный перманентный макияж глаз и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж глаз фото; перманентный макияж глаз отзывы; перманентный макияж глаз цены; сделать перманентный макияж глаз; перманентный макияж глаз методы; перманентный макияж глаз спб;хороший перманентный макияж глаз; перманентный макияж глаз спб лучшие мастера
20,Услуги/Перманентный макияж/Перманентный макияж век,single-permanent-vek.php,Перманентный макияж век,Профессиональный перманентный макияж век и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж век фото; перманентный макияж век отзывы; перманентный макияж век цены; сделать перманентный макияж век; перманентный макияж век методы; перманентный макияж век спб;хороший перманентный макияж век; перманентный макияж век спб лучшие мастера
21,Услуги/Перманентный макияж/Перманентный макияж стрелок,single-permanent-strel.php,Перманентный макияж стрелок,Профессиональный перманентный макияж стрелок и роскошный татуаж в Санкт-Петербурге от настоящих мастеров!,перманентный макияж стрелок фото; перманентный макияж стрелок отзывы; перманентный макияж стрелок цены; сделать перманентный макияж стрелок; перманентный макияж стрелок методы; перманентный макияж стрелок спб;хороший перманентный макияж стрелок; перманентный макияж стрелок спб лучшие мастера
22,Услуги/Микроблейдинг/,archive-microblading.php,Микроблейдинг,Профессиональный микроблейдинг и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,микроблейдинг бровей; спб; микроблейдинг бровей; микроблейдинг губ;микроблейдинг цена; микроблейдинг отзывы; микроблейдинг фото;микроблейдинг 6d
23,Услуги/Микроблейдинг/Микроблейдинг губ,single-microblading-gub.php,Микроблейдинг губ,Профессиональный микроблейдинг губ и роскошный перманентный макияж в Санкт-Петербурге от настоящих мастеров!,
